时间,电机位置,电机力矩,关节实际位置（编码器）,关节理论位置（电机转换）,关节指令位置
0,0,0,1.831,0.031957,0
0.001,0,0,1.831,0.031957,-5.02296e-05
0.002,0,0,1.831,0.031957,-0.000200912
0.003,0,0,1.831,0.031957,-0.000452028
0.004,0,0,1.831,0.031957,-0.000803546
0.005,0,0,1.831,0.031957,-0.00125542
0.006,0,0,1.831,0.031957,-0.00180759
0.007,0,0,1.831,0.031957,-0.00245999
0.008,0,0,1.831,0.031957,-0.00321254
0.009,0,0,1.831,0.031957,-0.00406513
0.01,0,0,1.831,0.031957,-0.00501766
0.011,0,0,1.831,0.031957,-0.00607002
0.012,0,0,1.831,0.031957,-0.00722205
0.013,0,0,1.831,0.031957,-0.00847362
0.014,0,0,1.831,0.031957,-0.00982456
0.015,0,0,1.831,0.031957,-0.0112747
0.016,0,0,1.831,0.031957,-0.0128239
0.017,0,0,1.831,0.031957,-0.0144719
0.018,0,0,1.831,0.031957,-0.0162184
0.019,0,0,1.831,0.031957,-0.0180634
0.02,0,0,1.831,0.031957,-0.0200065
0.021,0,0,1.831,0.031957,-0.0220476
0.022,0,0,1.831,0.031957,-0.0241862
0.023,0,0,1.831,0.031957,-0.0264223
0.024,0,0,1.831,0.031957,-0.0287554
0.025,0,0,1.831,0.031957,-0.0311853
0.026,0,0,1.831,0.031957,-0.0337116
0.027,0,0,1.831,0.031957,-0.0363341
0.028,0,0,1.831,0.031957,-0.0390525
0.029,0,0,1.831,0.031957,-0.0418662
0.03,0,0,1.831,0.031957,-0.0447751
0.031,0,0,1.831,0.031957,-0.0477788
0.032,0,0,1.831,0.031957,-0.0508767
0.033,0,0,1.831,0.031957,-0.0540686
0.034,0,0,1.831,0.031957,-0.0573541
0.035,0,0,1.831,0.031957,-0.0607327
0.036,0,0,1.831,0.031957,-0.0642039
0.037,0,0,1.831,0.031957,-0.0677675
0.038,0,0,1.831,0.031957,-0.0714228
0.039,0,0,1.831,0.031957,-0.0751694
0.04,0,0,1.831,0.031957,-0.0790069
0.041,0,0,1.831,0.031957,-0.0829347
0.042,0,0,1.831,0.031957,-0.0869524
0.043,0,0,1.831,0.031957,-0.0910594
0.044,0,0,1.831,0.031957,-0.0952552
0.045,0,0,1.831,0.031957,-0.0995393
0.046,0,0,1.831,0.031957,-0.103911
0.047,0,0,1.831,0.031957,-0.10837
0.048,0,0,1.831,0.031957,-0.112916
0.049,0,0,1.831,0.031957,-0.117547
0.05,0,0,1.831,0.031957,-0.122264
0.051,0,0,1.831,0.031957,-0.127066
0.052,0,0,1.831,0.031957,-0.131952
0.053,0,0,1.831,0.031957,-0.136922
0.054,0,0,1.831,0.031957,-0.141975
0.055,0,0,1.831,0.031957,-0.147109
0.056,0,0,1.831,0.031957,-0.152326
0.057,0,0,1.831,0.031957,-0.157623
0.058,0,0,1.831,0.031957,-0.163001
0.059,0,0,1.831,0.031957,-0.168459
0.06,0,0,1.831,0.031957,-0.173995
0.061,0,0,1.831,0.031957,-0.17961
0.062,0,0,1.831,0.031957,-0.185302
0.0629999,0,0,1.831,0.031957,-0.19107
0.064,0,0,1.831,0.031957,-0.196915
0.065,0,0,1.831,0.031957,-0.202835
0.066,0,0,1.831,0.031957,-0.20883
0.067,0,0,1.831,0.031957,-0.214898
0.068,0,0,1.831,0.031957,-0.221039
0.069,0,0,1.831,0.031957,-0.227253
