step_index,time_seconds,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,position_error_norm,experiment_case_id,tcp_label,joint_1,joint_2,joint_3
0,0.0,0.106287,-0.41627,1.132398,-0.04475001998666718,-0.545360145122681,0.915461114881844,0.1510370199866672,0.12909014512268108,0.216936885118156,0.2941735186909518,tcp_case_3,tcp_up_5cm,0.009636532110678863,-0.01193007062984698,1.6742124766628736e-13
1,0.02,0.106287,-0.41627,1.132398,-0.03952800141493583,-0.5439326340440789,0.9219510152572177,0.14581500141493584,0.1276626340440789,0.21044698474278234,0.286090363619677,tcp_case_3,tcp_up_5cm,0.019273064221357727,-0.02386014125969396,3.348424953325747e-13
2,0.04,0.106287,-0.41627,1.132398,-0.03433988091041571,-0.5423780331268767,0.9284185774373879,0.14062688091041572,0.12610803312687674,0.20397942256261214,0.27800496485260545,tcp_case_3,tcp_up_5cm,0.028909596332036592,-0.035790211889540936,5.022637429988621e-13
3,0.06,0.106287,-0.41627,1.132398,-0.029188354988331576,-0.5406971671560749,0.9348628809194006,0.13547535498833158,0.12442716715607488,0.1975351190805994,0.26991816353459214,tcp_case_3,tcp_up_5cm,0.038546128442715454,-0.04772028251938792,6.696849906651494e-13
4,0.08,0.106287,-0.41627,1.132398,-0.02407610123745917,-0.5388909189326947,0.941283008510648,0.13036310123745917,0.12262091893269472,0.19111499148935207,0.261830800128865,tcp_case_3,tcp_up_5cm,0.04818266055339432,-0.0596503531492349,8.371062383314368e-13
5,0.1,0.106287,-0.41627,1.132398,-0.019005777073826096,-0.5369602288469533,0.9476780464594108,0.1252927770738261,0.1206902288469533,0.18471995354058923,0.2537437143301069,tcp_case_3,tcp_up_5cm,0.057819192664073184,-0.07158042377908187,1.0045274859977242e-12
6,0.12,0.106287,-0.41627,1.132398,-0.013980018503953431,-0.5349060944246635,0.9540470845849135,0.12026701850395344,0.11863609442466355,0.17835091541508652,0.2456577449818493,tcp_case_3,tcp_up_5cm,0.06745572477475205,-0.08351049440892885,1.1719487336640115e-12
7,0.14,0.106287,-0.41627,1.132398,-0.009001438898220221,-0.5327295698470704,0.9603892164068677,0.11528843889822023,0.11645956984707045,0.17200878359313232,0.2375737299992202,tcp_case_3,tcp_up_5cm,0.07709225688543091,-0.09544056503877583,1.3393699813302989e-12
8,0.16,0.106287,-0.41627,1.132398,-0.004072627774913733,-0.5304317654443502,0.9667035392744899,0.11035962777491373,0.11416176544435025,0.16569446072551008,0.22949250629836687,tcp_case_3,tcp_up_5cm,0.08672878899610977,-0.10737063566862282,1.5067912289965861e-12
9,0.18,0.106287,-0.41627,1.132398,0.0008038504044641515,-0.5280138471630117,0.9729891544949757,0.10548314959553586,0.11174384716301172,0.15940884550502432,0.22141490973425756,tcp_case_3,tcp_up_5cm,0.09636532110678864,-0.1193007062984698,1.6742124766628736e-12
10,0.2,0.106287,-0.41627,1.132398,0.005625457428075076,-0.52547703600744,0.9792451674614082,0.10066154257192493,0.10920703600744003,0.1531528325385918,0.21334177504905996,tcp_case_3,tcp_up_5cm,0.10600185321746751,-0.13123077692831678,1.841633724329161e-12
11,0.22,0.106287,-0.41627,1.132398,0.010389682514253706,-0.5228226074558572,0.9854706877800873,0.0958973174857463,0.1065526074558572,0.14692731221991273,0.20527393583397704,tcp_case_3,tcp_up_5cm,0.11563838532814637,-0.14316084755816375,2.0090549719954484e-12
12,0.24,0.106287,-0.41627,1.132398,0.015094043479097846,-0.5200518908509593,0.9916648293972573,0.09119295652090216,0.10378189085095929,0.1407331706027427,0.19721222450833079,tcp_case_3,tcp_up_5cm,0.12527491743882524,-0.15509091818801074,2.1764762196617357e-12
13,0.26,0.106287,-0.41627,1.132398,0.019736087890598428,-0.5171662687655276,0.9978267107252182,0.08655091210940158,0.10089626876552765,0.1345712892747818,0.1891574723209526,tcp_case_3,tcp_up_5cm,0.1349114495495041,-0.1670209888178577,2.343897467328023e-12
