step_index,time_seconds,reference_body_name,reference_site_name,reference_kind,tool_frame_enabled,tool_label,world_x,world_y,world_z,base_x,base_y,base_z,flange_x,flange_y,flange_z,tool_x,tool_y,tool_z,tool_offset_world_x,tool_offset_world_y,tool_offset_world_z,target_x,target_y,target_z,tool_error_x,tool_error_y,tool_error_z,tool_error_norm,experiment_case_id,joint_1,joint_2,joint_3
0,0.0,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.0012470018928846724,-0.5449023913509059,0.9154612436397183,0.0013028998757922841,-0.5684950555789462,0.4503339674345504,5.5897982907611764e-05,-0.023592664228040273,-0.46512727620516786,0.106287,-0.41627,1.132398,0.10498410012420772,0.15222505557894622,0.6820640325654497,0.7066862623147175,target_1,0.0022944314151939803,-0.011929969272124034,-0.0019280875170528515
1,0.02,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.0024888053388728397,-0.5430643813277874,0.9219510732357454,0.0026201574648266556,-0.5713077009716696,0.4570830299781856,0.00013135212595381593,-0.028243319643882166,-0.4648680432575598,0.106287,-0.41627,1.132398,0.10366684253517335,0.15503770097166963,0.6753149700218144,0.7005953266325414,target_1,0.004588862830387961,-0.023859938544248067,-0.003856175034105703
2,0.04,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.0037216494164215765,-0.5411462617172363,0.9284185651315545,0.003949777436062468,-0.5740371649070837,0.4638562588205897,0.00022812801964089134,-0.03289090318984731,-0.46456230631096485,0.106287,-0.41627,1.132398,0.10233722256393754,0.1577671649070837,0.6685417411794103,0.6944864614548779,target_1,0.006883294245581941,-0.035789907816372105,-0.005784262551158555
3,0.06,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.004944998241793316,-0.5391483377570627,0.9348627988562257,0.0052911994026645605,-0.5766832143718381,0.47065270290583616,0.000346201160871244,-0.03753487661477534,-0.46421009595038953,0.106287,-0.41627,1.132398,0.10099580059733544,0.16041321437183814,0.6617452970941639,0.6883599271526817,target_1,0.009177725660775921,-0.047719877088496135,-0.007712350068211406
4,0.08,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.0061583186640745795,-0.5370709280757819,0.9412828572490044,0.00664386122332836,-0.5792456302081674,0.4774714098391031,0.0004855425592537811,-0.04217470213238548,-0.4638114474099013,0.106287,-0.41627,1.132398,0.09964313877667165,0.16297563020816747,0.6549265901608969,0.6822159846022342,target_1,0.0114721570759699,-0.05964984636062017,-0.009640437585264257
5,0.1,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.007361080399569071,-0.5349143646360968,0.947677826589836,0.008007199141717311,-0.5817242071289195,0.4843114260207311,0.0006461187421482398,-0.04680984249282272,-0.46336640056910494,0.106287,-0.41627,1.132398,0.0982798008582827,0.1654542071289195,0.6480865739792689,0.6760548951716787,target_1,0.013766588491163882,-0.07157981563274421,-0.01156852510231711
6,0.12,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.008552756165529208,-0.5326789926759344,0.9540467967294071,0.00938064792599292,-0.5841187537300642,0.4911717967802556,0.0008278917604637118,-0.05143976105412977,-0.4628749999491515,0.106287,-0.41627,1.132398,0.09690635207400708,0.1678487537300642,0.6412262032197444,0.6698769207075552,target_1,0.01606101990635786,-0.08350978490486824,-0.013496612619369961
7,0.14,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.009732821813203549,-0.5303651706470516,0.9603888612186818,0.010763641008410946,-0.5864290925006854,0.498051566510396,0.0010308191952073972,-0.056063921853633895,-0.46233729470828583,0.106287,-0.41627,1.132398,0.09552335899158906,0.17015909250068545,0.6343464334896041,0.6636823235213316,target_1,0.018355451321551843,-0.09543975417699227,-0.015424700136422812
8,0.16,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.010900756460164713,-0.5279732701512218,0.9667031174379096,0.0121556106249519,-0.5886550598304576,0.5049497788009811,0.001254854164787188,-0.06068178967923584,-0.4617533386369285,0.106287,-0.41627,1.132398,0.09413138937504811,0.17238505983045765,0.6274482211990189,0.6574713663759361,target_1,0.020649882736745822,-0.10736972344911631,-0.017352787653475664
9,0.18,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.012056042621894096,-0.5255036758740123,0.9729886667250879,0.013555987954954215,-0.5907965060146054,0.511865476572793,0.001499945333060118,-0.06529283014059314,-0.4611231901522948,0.106287,-0.41627,1.132398,0.09273101204504579,0.17452650601460545,0.620532523427207,0.651244312472287,target_1,0.0229443141519398,-0.11929969272124034,-0.019280875170528514
10,0.2,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.013198166342587846,-0.5229567855161679,0.9792446145038639,0.014964203260721771,-0.5928532952563553,0.5187977022113135,0.0017660369181339253,-0.06989650974018748,-0.46044691229255047,0.106287,-0.41627,1.132398,0.09132279673927823,0.17658329525635535,0.6136002977886865,0.6450014254358214,target_1,0.02523874556713378,-0.1312296619933644,-0.021208962687581368
11,0.22,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.014326617325162126,-0.5203330097226105,0.9854700704108508,0.01637968602707443,-0.5948253056668749,0.5257454977003448,0.0020530687019123042,-0.07449229594426433,-0.459724572710506,0.106287,-0.41627,1.132398,0.08990731397292558,0.1785553056668749,0.6066525022996552,0.6387429693030292,target_1,0.027533176982327764,-0.14315963126548842,-0.02313705020463422
12,0.24,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.015440889060424526,-0.5176327720090723,0.9916641484223486,0.017801865100810898,-0.596712429262709,0.5327079047554996,0.0023609760403863734,-0.07907965725363661,-0.45895624366684906,0.106287,-0.41627,1.132398,0.0884851348991891,0.18044242926270898,0.5996900952445005,0.6324692085079822,target_1,0.029827608397521743,-0.15508960053761245,-0.02506513772168707
13,0.26,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.016540478955383617,-0.5148565086863715,0.9978259669804446,0.019230168830055946,-0.5985145719607118,0.5396839649575297,0.00268968987467233,-0.08365806327434036,-0.4581420020229149,0.106287,-0.41627,1.132398,0.08705683116994406,0.1822445719607118,0.5927140350424703,0.6261804078688681,target_1,0.03212203981271572,-0.16701956980973648,-0.026993225238739923
14,0.28,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.01762488846066969,-0.5120046687823486,1.0039546491184792,0.020664025203458114,-0.6002316535704839,0.5466727198854812,0.0030391367427884206,-0.0882269847881353,-0.45728192923299804,0.106287,-0.41627,1.132398,0.08562297479654189,0.18396165357048394,0.5857252801145189,0.6198768325745265,target_1,0.0344164712279097,-0.1789495390818605,-0.028921312755792773
15,0.3,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.018693623197037195,-0.50907771396148,1.0100493225858589,0.022102861989211776,-0.6018636077843148,0.5536732112496545,0.0034092387921745805,-0.09278589382283475,-0.4563761113362044,0.106287,-0.41627,1.132398,0.08418413801078822,0.18559360778431483,0.5787247887503455,0.6135587481709878,target_1,0.036710902643103685,-0.19087950835398454,-0.030849400272845624
16,0.32,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.019746193080922066,-0.5060761184421746,1.0161091199721959,0.02354610687387146,-0.6034103821646369,0.5606844810243539,0.0037999137929493935,-0.09733426372246237,-0.4554246389478421,0.106287,-0.41627,1.132398,0.08274089312612855,0.18714038216463696,0.5717135189756462,0.6072264205480129,target_1,0.03900533405829766,-0.2028094776261086,-0.032777487789898474
17,0.34,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.0207821124490247,-0.5030003689117836,1.022133178830761,0.024993187600928158,-0.604871938129002,0.567705571580402,0.004211075151903456,-0.10187156921721838,-0.454427607250359,0.106287,-0.41627,1.132398,0.08129381239907185,0.188601938129002,0.564692428419598,0.600880115925643,target_1,0.041299765473491644,-0.21473944689823263,-0.03470557530695133
18,0.36,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.02180090018189333,-0.49985096443932553,1.0281206418012312,0.026443532109121003,-0.6062482509325765,0.5747355258174116,0.004642631927227675,-0.10639728649325095,-0.4533851159838196,0.106287,-0.41627,1.132398,0.07984346789087901,0.18997825093257653,0.5576624741825884,0.5945201008407445,target_1,0.04359419688868563,-0.22666941617035666,-0.03663366282400418
19,0.38,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.022802079826476147,-0.4966284163859541,1.0340706567317082,0.027896568670448315,-0.6075393096481719,0.5817733872957809,0.005094488843972167,-0.11091089326221783,-0.4522972694359273,0.106287,-0.41627,1.132398,0.07839043132955169,0.19126930964817196,0.5506246127042191,0.5881466421335693,target_1,0.0458886283038796,-0.2385993854424807,-0.03856175034105703
20,0.4,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.02378517971762147,-0.4933332483131783,1.0399823768000012,0.029351726027857208,-0.6087451171438114,0.588818200368409,0.005566546310235739,-0.11541186883063304,-0.4511641764315921,0.106287,-0.41627,1.132398,0.0769352739721428,0.19247511714381144,0.543579799631591,0.5817600069343141,target_1,0.048183059719073586,-0.25052935471460475,-0.04048983785810988
21,0.42,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.024749733098492255,-0.4899659958888574,1.045854960634149,0.030808433532573728,-0.609865690057843,0.595869010312104,0.006058700434081472,-0.1198996941689856,-0.44998595032204486,0.106287,-0.41627,1.132398,0.07547856646742628,0.193595690057843,0.536528989687896,0.5753604626496892,target_1,0.05047749113426756,-0.2624593239867288,-0.042417925375162736
22,0.44,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.025695278239873793,-0.48652720679098455,1.051687572432165,0.03226612128105008,-0.6109010587716057,0.6029248634586688,0.006570843041176284,-0.12437385198062116,-0.4487627089734963,0.106287,-0.41627,1.132398,0.07402087871894993,0.19463105877160575,0.5294731365413312,0.5689482769494929,target_1,0.052771922549461545,-0.2743892932588528,-0.04434601289221558
23,0.46,Link3,,body,True,default_tool_frame,0.0,0.0,0.0,0.0,0.0,0.65,0.026621358558343616,-0.4830174406092816,1.0574793820809925,0.03372422025149661,-0.6118512673796579,0.6099848073256456,0.007102861693152993,-0.12883382677037636,-0.4474945747553468,0.106287,-0.41627,1.132398,0.07256277974850339,0.19558126737965792,0.5224131926743544,0.5625237177531941,target_1,0.05506635396465553,-0.28631926253097684,-0.04627410040926844
