step_index,time_seconds,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,position_error_norm,experiment_case_id,tcp_label,joint_1,joint_2,joint_3
0,0.0,0.106287,-0.41627,1.132398,0.003566553778910345,-0.5449081165464201,0.91540338770538,0.10272044622108967,0.12863811654642016,0.21699461229462003,0.2723709178039436,tcp_case_1,tcp_center,0.006551093554559258,-0.011823777386315293,0.0
1,0.02,0.106287,-0.41627,1.132398,0.007112379347335465,-0.5430568234325724,0.921835748917315,0.09917462065266454,0.12678682343257247,0.210562251082685,0.2650414412101057,tcp_case_1,tcp_center,0.013102187109118516,-0.023647554772630586,0.0
2,0.04,0.106287,-0.41627,1.132398,0.010632611526034688,-0.5411066245888617,0.9282461843801411,0.09565438847396532,0.12483662458886174,0.20415181561985896,0.25770508084621374,tcp_case_1,tcp_center,0.019653280663677775,-0.03547133215894588,0.0
3,0.06,0.106287,-0.41627,1.132398,0.014125616861545386,-0.539058054997666,0.934633797909883,0.09216138313845462,0.12278805499766604,0.19776420209011703,0.25036235064490736,tcp_case_1,tcp_center,0.02620437421823703,-0.04729510954526117,0.0
4,0.08,0.106287,-0.41627,1.132398,0.01758977175005105,-0.536911680509701,0.9409976965130984,0.08869722824994895,0.12064168050970098,0.19140030348690162,0.2430137641169865,tcp_case_1,tcp_center,0.03275546777279629,-0.059118886931576464,0.0
5,0.1,0.106287,-0.41627,1.132398,0.021023462997904516,-0.5346680976564698,0.9473369905117187,0.08526353700209549,0.11839809765646986,0.1850610094882813,0.23565983430275178,tcp_case_1,tcp_center,0.03930656132735555,-0.07094266431789176,0.0
6,0.12,0.106287,-0.41627,1.132398,0.024425088378617513,-0.5323279334524224,0.9536507936674284,0.0818619116213825,0.11605793345242238,0.17874720633257157,0.2283010737233902,tcp_case_1,tcp_center,0.04585765488191481,-0.08276644170420705,0.0
7,0.14,0.106287,-0.41627,1.132398,0.027793057186129285,-0.5298918451868851,0.9599382233055612,0.07849394281387072,0.11362184518688517,0.1724597766944388,0.22093799433242667,tcp_case_1,tcp_center,0.05240874843647406,-0.09459021909052234,0.0
8,0.16,0.106287,-0.41627,1.132398,0.031125790784165695,-0.5273605202058353,0.9661984004385014,0.07516120921583432,0.11109052020583537,0.16619959956149866,0.21357110746726027,tcp_case_1,tcp_center,0.058959841991033324,-0.10641399647683764,0.0
9,0.18,0.106287,-0.41627,1.132398,0.034421723151504,-0.5247346756835921,0.9724304498885656,0.071865276848496,0.10846467568359214,0.15996755011143438,0.2062009238008212,tcp_case_1,tcp_center,0.06551093554559258,-0.11823777386315293,0.0
10,0.2,0.106287,-0.41627,1.132398,0.03767930142295834,-0.5220150583845011,0.9786335004103551,0.06860769857704166,0.10574505838450116,0.1537644995896449,0.1988279532933779,tcp_case_1,tcp_center,0.07206202910015184,-0.13006155124946822,0.0
11,0.22,0.106287,-0.41627,1.132398,0.04089698642590253,-0.5192024444146943,0.9848066848125576,0.06539001357409747,0.10293244441469435,0.1475913151874424,0.19145270514454413,tcp_case_1,tcp_center,0.0786131226547111,-0.14188532863578351,0.0
12,0.24,0.106287,-0.41627,1.132398,0.04407325321215046,-0.5162976389640055,0.9909491400791806,0.06221374678784955,0.10002763896400552,0.14144885992081946,0.18407568774554586,tcp_case_1,tcp_center,0.08516421620927037,-0.1537091060220988,0.0
13,0.26,0.106287,-0.41627,1.132398,0.04720659158501137,-0.5133014760381324,0.9970600074902036,0.059080408414988635,0.09703147603813239,0.1353379925097964,0.17669740863182523,tcp_case_1,tcp_center,0.09171530976382962,-0.1655328834084141,0.0
14,0.28,0.106287,-0.41627,1.132398,0.05029550662134497,-0.510214818181135,1.003138432741628,0.055991493378655034,0.09394481818113504,0.12925956725837207,0.16931837443609038,tcp_case_1,tcp_center,0.09826640331838889,-0.1773566607947294,0.0
15,0.3,0.106287,-0.41627,1.132398,0.05333851918843689,-0.5070385561883602,1.0091835660649102,0.052948480811563114,0.09076855618836027,0.1232144339350898,0.1619390908419477,tcp_case_1,tcp_center,0.10481749687294813,-0.18918043818104469,0.0
16,0.32,0.106287,-0.41627,1.132398,0.05633416645552069,-0.5037736088098933,1.0151945623457597,0.04995283354447932,0.08750360880989333,0.11720343765424035,0.15456006253831778,tcp_case_1,tcp_center,0.1113685904275074,-0.20100421556735998,0.0
17,0.34,0.106287,-0.41627,1.132398,0.059281002399775296,-0.5004209224446351,1.0211705812422895,0.04700599760022471,0.08415092244463512,0.11122741875771047,0.14718179317489785,tcp_case_1,tcp_center,0.11791968398206665,-0.21282799295367527,0.0
18,0.36,0.106287,-0.41627,1.132398,0.062177598306622756,-0.49698147082510824,1.0271107873024947,0.04410940169337725,0.08071147082510827,0.1052872126975053,0.1398047853190646,tcp_case_1,tcp_center,0.12447077753662592,-0.22465177033999056,0.0
19,0.38,0.106287,-0.41627,1.132398,0.06502254326416035,-0.49345625469309806,1.0330143500810514,0.04126445673583966,0.07718625469309809,0.09938364991894866,0.13242954041475766,tcp_case_1,tcp_center,0.13102187109118515,-0.23647554772630586,0.0
20,0.4,0.106287,-0.41627,1.132398,0.06781444465155892,-0.48984630146623764,1.0388804442554136,0.03847255534844109,0.07357630146623767,0.09351755574458642,0.12505655874415936,tcp_case_1,tcp_center,0.13757296464574445,-0.24829932511262118,0.0
21,0.42,0.106287,-0.41627,1.132398,0.07055192862126115,-0.486152664895651,1.0447082497411948,0.03573507137873885,0.06988266489565104,0.08768975025880521,0.1176863393933767,tcp_case_1,tcp_center,0.1441240582003037,-0.26012310249893644,0.0
22,0.44,0.106287,-0.41627,1.132398,0.0732336405748184,-0.4823764247147665,1.0504969518068163,0.0330533594251816,0.06610642471476652,0.08190104819318367,0.11031938022397302,tcp_case_1,tcp_center,0.15067515175486296,-0.27194687988525174,0.0
