step_index,time_seconds,right_arm_target_1,right_arm_target_2,right_arm_target_3,right_arm_target_4,right_arm_target_5,right_arm_target_6,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,arm_tip_r_x,arm_tip_r_y,arm_tip_r_z,robot_tip_r_x,robot_tip_r_y,robot_tip_r_z
0,0.0,0.0025000000000000005,-0.0012500000000000002,0.001875,0.0006250000000000001,-0.0006250000000000001,0.000375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0025000000000000005,-0.0012500000000000002,0.001875,0.0006250000000000001,-0.0006250000000000001,0.000375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9627208205073559,-0.16520191248866678,0.0005335207557787179
1,0.005,0.005000000000000001,-0.0025000000000000005,0.00375,0.0012500000000000002,-0.0012500000000000002,0.00075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005000000000000001,-0.0025000000000000005,0.00375,0.0012500000000000002,-0.0012500000000000002,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9626559690430838,-0.1629041202266777,0.0002670771798008913
2,0.01,0.0075,-0.00375,0.005625,0.001875,-0.001875,0.001125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0075,-0.00375,0.005625,0.001875,-0.001875,0.001125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9625844468050906,-0.1606066442437757,6.698820436813206e-07
3,0.015,0.010000000000000002,-0.005000000000000001,0.0075,0.0025000000000000005,-0.0025000000000000005,0.0015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010000000000000002,-0.005000000000000001,0.0075,0.0025000000000000005,-0.0025000000000000005,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9625062550611557,-0.15830950556514758,-0.0002657005275851873
4,0.02,0.0125,-0.00625,0.009375,0.003125,-0.003125,0.001875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0125,-0.00625,0.009375,0.003125,-0.003125,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9624213951489179,-0.15601272521118356,-0.0005320334392483749
5,0.025,0.015,-0.0075,0.01125,0.00375,-0.00375,0.00225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.015,-0.0075,0.01125,0.00375,-0.00375,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.962329868475855,-0.15371632419723694,-0.0007983282431797455
6,0.03,0.017499999999999998,-0.008749999999999999,0.013125,0.0043749999999999995,-0.0043749999999999995,0.0026249999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.017499999999999998,-0.008749999999999999,0.013125,0.0043749999999999995,-0.0043749999999999995,0.0026249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.962231676519266,-0.15142032353338397,-0.001064584329685273
7,0.035,0.020000000000000004,-0.010000000000000002,0.015,0.005000000000000001,-0.005000000000000001,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020000000000000004,-0.010000000000000002,0.015,0.005000000000000001,-0.005000000000000001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9621268208262519,-0.1491247442241834,-0.0013308010891437305
8,0.04,0.022500000000000003,-0.011250000000000001,0.016875,0.005625000000000001,-0.005625000000000001,0.003375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022500000000000003,-0.011250000000000001,0.016875,0.005625000000000001,-0.005625000000000001,0.003375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9620153030136941,-0.14682960726843675,-0.0015969779120076826
9,0.045,0.025,-0.0125,0.01875,0.00625,-0.00625,0.00375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025,-0.0125,0.01875,0.00625,-0.00625,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9618971247682343,-0.14453493365894804,-0.0018631141888041278
10,0.05,0.027500000000000004,-0.013750000000000002,0.020625,0.006875000000000001,-0.006875000000000001,0.004125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.027500000000000004,-0.013750000000000002,0.020625,0.006875000000000001,-0.006875000000000001,0.004125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.961772287846252,-0.14224074438228373,-0.0021292093101356402
11,0.055,0.03,-0.015,0.0225,0.0075,-0.0075,0.0045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03,-0.015,0.0225,0.0075,-0.0075,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9616407940738427,-0.13994706041853322,-0.002395262666680845
12,0.06,0.0325,-0.01625,0.024375,0.008125,-0.008125,0.004875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0325,-0.01625,0.024375,0.008125,-0.008125,0.004875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9615026453467926,-0.13765390274106865,-0.002661273649195545
13,0.065,0.034999999999999996,-0.017499999999999998,0.02625,0.008749999999999999,-0.008749999999999999,0.0052499999999999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.034999999999999996,-0.017499999999999998,0.02625,0.008749999999999999,-0.008749999999999999,0.0052499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9613578436305537,-0.13536129231630542,-0.002927241648513377
14,0.07,0.037500000000000006,-0.018750000000000003,0.028124999999999997,0.009375000000000001,-0.009375000000000001,0.005625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.037500000000000006,-0.018750000000000003,0.028124999999999997,0.009375000000000001,-0.009375000000000001,0.005625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9612063909602206,-0.13306925010346263,-0.003193166055546749
15,0.075,0.04000000000000001,-0.020000000000000004,0.03,0.010000000000000002,-0.010000000000000002,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04000000000000001,-0.020000000000000004,0.03,0.010000000000000002,-0.010000000000000002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.961048289440503,-0.13077779705432335,-0.0034590462612875783
16,0.08,0.0425,-0.02125,0.031875,0.010625,-0.010625,0.006375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,-0.02125,0.031875,0.010625,-0.010625,0.006375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9608835412456974,-0.12848695411299535,-0.0037248816568082677
17,0.085,0.045000000000000005,-0.022500000000000003,0.03375,0.011250000000000001,-0.011250000000000001,0.00675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.045000000000000005,-0.022500000000000003,0.03375,0.011250000000000001,-0.011250000000000001,0.00675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9607121486196611,-0.1261967422156719,-0.003990671633262429
18,0.09,0.0475,-0.02375,0.035625,0.011875,-0.011875,0.007124999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0475,-0.02375,0.035625,0.011875,-0.011875,0.007124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9605341138757824,-0.12390718229039208,-0.004256415581885691
19,0.095,0.05,-0.025,0.0375,0.0125,-0.0125,0.0075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,-0.025,0.0375,0.0125,-0.0125,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9603494393969506,-0.1216182952568022,-0.004522112893996671
20,0.1,0.052500000000000005,-0.026250000000000002,0.039375,0.013125000000000001,-0.013125000000000001,0.007875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052500000000000005,-0.026250000000000002,0.039375,0.013125000000000001,-0.013125000000000001,0.007875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9601581276355267,-0.11933010202591657,-0.004787762960997697
21,0.105,0.05500000000000001,-0.027500000000000004,0.04125,0.013750000000000002,-0.013750000000000002,0.00825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05500000000000001,-0.027500000000000004,0.04125,0.013750000000000002,-0.013750000000000002,0.00825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9599601811133109,-0.11704262349987844,-0.005053365174375655
22,0.11,0.057499999999999996,-0.028749999999999998,0.043125,0.014374999999999999,-0.014374999999999999,0.008624999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.057499999999999996,-0.028749999999999998,0.043125,0.014374999999999999,-0.014374999999999999,0.008624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9597556024215114,-0.11475588057172163,-0.005318918925702881
23,0.115,0.06,-0.03,0.045,0.015,-0.015,0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06,-0.03,0.045,0.015,-0.015,0.009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9595443942207105,-0.11246989412513132,-0.005584423606637927
24,0.12,0.0625,-0.03125,0.046875,0.015625,-0.015625,0.009375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0625,-0.03125,0.046875,0.015625,-0.015625,0.009375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9593265592408305,-0.11018468503420603,-0.005849878608926458
25,0.125,0.065,-0.0325,0.04875,0.01625,-0.01625,0.00975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.065,-0.0325,0.04875,0.01625,-0.01625,0.00975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9591021002811008,-0.1079002741632189,-0.006115283324402013
26,0.13,0.0675,-0.03375,0.050625,0.016875,-0.016875,0.010125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0675,-0.03375,0.050625,0.016875,-0.016875,0.010125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.958871020210021,-0.10561668236637936,-0.006380637144986925
27,0.135,0.06999999999999999,-0.034999999999999996,0.0525,0.017499999999999998,-0.017499999999999998,0.010499999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06999999999999999,-0.034999999999999996,0.0525,0.017499999999999998,-0.017499999999999998,0.010499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9586333219653238,-0.10333393048759533,-0.006645939462693039
28,0.14,0.0725,-0.03625,0.054375,0.018125,-0.018125,0.010875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0725,-0.03625,0.054375,0.018125,-0.018125,0.010875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.958389008553939,-0.10105203936023463,-0.006911189669622737
29,0.145,0.07500000000000001,-0.037500000000000006,0.056249999999999994,0.018750000000000003,-0.018750000000000003,0.01125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07500000000000001,-0.037500000000000006,0.056249999999999994,0.018750000000000003,-0.018750000000000003,0.01125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64625,-0.24250000000000002,-0.11135,0.9581380830519561,-0.09877102980688757,-0.0071763871579695404
