time_seconds,joint_1_desired,joint_1_actual,joint_1_error,joint_2_desired,joint_2_actual,joint_2_error,joint_3_desired,joint_3_actual,joint_3_error,joint_4_desired,joint_4_actual,joint_4_error,joint_5_desired,joint_5_actual,joint_5_error,joint_6_desired,joint_6_actual,joint_6_error
0.0,0.0025000000000000005,0.0004500000000000001,-0.0020500000000000006,-0.0012500000000000002,-0.00022500000000000005,0.0010250000000000003,0.001875,0.00033749999999999996,-0.0015375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.005000000000000001,0.0012690000000000002,-0.003731000000000001,-0.0025000000000000005,-0.0006345000000000001,0.0018655000000000004,0.00375,0.0009517499999999999,-0.00279825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0075,0.00239058,-0.00510942,-0.00375,-0.00119529,0.00255471,0.005625,0.0017929349999999998,-0.003832065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.010000000000000002,0.0037602756,-0.006239724400000002,-0.005000000000000001,-0.0018801378,0.003119862200000001,0.0075,0.0028202067,-0.0046797933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0125,0.0053334259920000005,-0.007166574008,-0.00625,-0.0026667129960000003,0.003583287004,0.009375,0.004000069494,-0.005374930506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.015,0.007073409313440001,-0.007926590686559999,-0.0075,-0.0035367046567200003,0.003963295343279999,0.01125,0.00530505698508,-0.0059449430149199995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.017499999999999998,0.0089501956370208,-0.008549804362979198,-0.008749999999999999,-0.0044750978185104,0.004274902181489599,0.013125,0.0067126467277656,-0.0064123532722344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.020000000000000004,0.010939160422357057,-0.009060839577642947,-0.010000000000000002,-0.005469580211178529,0.004530419788821473,0.015,0.008204370316767792,-0.006795629683232208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.022500000000000003,0.013020111546332787,-0.009479888453667215,-0.011250000000000001,-0.006510055773166394,0.004739944226833608,0.016875,0.009765083659749589,-0.007109916340250412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,0.025,0.015176491467992886,-0.009823508532007115,-0.0125,-0.007588245733996443,0.004911754266003558,0.01875,0.011382368600994662,-0.007367631399005337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.027500000000000004,0.017394723003754168,-0.010105276996245836,-0.013750000000000002,-0.008697361501877084,0.005052638498122918,0.020625,0.013046042252815623,-0.007578957747184378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055,0.03,0.019663672863078418,-0.010336327136921581,-0.015,-0.009831836431539209,0.0051681635684607905,0.0225,0.01474775464730881,-0.007752245352691188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0325,0.021974211747724303,-0.010525788252275698,-0.01625,-0.010987105873862152,0.005262894126137849,0.024375,0.016480658810793226,-0.007894341189206774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.065,0.034999999999999996,0.02431885363313393,-0.010681146366866068,-0.017499999999999998,-0.012159426816566964,0.005340573183433034,0.02625,0.018239140224850445,-0.008010859775149554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.037500000000000006,0.026691459979169822,-0.010808540020830183,-0.018750000000000003,-0.013345729989584911,0.005404270010415092,0.028124999999999997,0.020018594984377365,-0.008106405015622632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.04000000000000001,0.029086997182919256,-0.010913002817080752,-0.020000000000000004,-0.014543498591459628,0.005456501408540376,0.03,0.02181524788718944,-0.00818475211281056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0425,0.03150133768999379,-0.010998662310006214,-0.02125,-0.015750668844996894,0.005499331155003107,0.031875,0.02362600326749534,-0.008248996732504659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.085,0.045000000000000005,0.033931096905794905,-0.0110689030942051,-0.022500000000000003,-0.016965548452897453,0.00553445154710255,0.03375,0.02544832267934618,-0.008301677320653823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0475,0.03637349946275182,-0.011126500537248181,-0.02375,-0.01818674973137591,0.0055632502686240905,0.035625,0.027280124597063866,-0.00834487540293613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.095,0.05,0.03882626955945649,-0.011173730440543511,-0.025,-0.019413134779728246,0.005586865220271756,0.0375,0.02911970216959237,-0.00838029783040763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.052500000000000005,0.04128754103875432,-0.011212458961245682,-0.026250000000000002,-0.02064377051937716,0.005606229480622841,0.039375,0.030965655779065744,-0.008409344220934256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.105,0.05500000000000001,0.04375578365177855,-0.01124421634822146,-0.027500000000000004,-0.021877891825889274,0.00562210817411073,0.04125,0.03281683773883391,-0.00843316226116609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.057499999999999996,0.04622974259445841,-0.011270257405541585,-0.028749999999999998,-0.023114871297229205,0.005635128702770793,0.043125,0.034672306945843806,-0.00845269305415619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.115,0.06,0.048708388927455895,-0.011291611072544103,-0.03,-0.024354194463727948,0.005645805536272051,0.045,0.03653129169559192,-0.00846870830440808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0625,0.051190878920513834,-0.011309121079486166,-0.03125,-0.025595439460256917,0.005654560539743083,0.046875,0.03839315919038537,-0.00848184080961463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
