step_index,time_seconds,target_J1,target_J2,target_J3,qpos_J1,qpos_J2,qpos_J3,Link3_site_x,Link3_site_y,Link3_site_z,tool_site_x,tool_site_y,tool_site_z
0,0.0,0.006,-0.009333333333333334,0.012,0.006,-0.009333333333333334,0.012,0.5452828610268114,0.26404581614781014,0.6467282635729078,0.5499757538968821,0.044095876471405004,0.6467001058777943
1,0.02,0.012,-0.018666666666666668,0.024,0.012,-0.018666666666666668,0.024,0.5438386930895649,0.2691286488432198,0.6434736224137937,0.5532218364043964,0.049328867355453915,0.6433610192890138
2,0.04,0.018000000000000002,-0.027999999999999997,0.036000000000000004,0.018000000000000002,-0.027999999999999997,0.036000000000000004,0.5423277809615956,0.2741980553182395,0.6402370455208318,0.5563958916416234,0.05464846154808892,0.6399837921766394
3,0.06,0.024,-0.037333333333333336,0.048,0.024,-0.037333333333333336,0.048,0.5407504244291691,0.27925359397444427,0.6370194974615047,0.559495582281409,0.060054103591993174,0.6365695272754575
4,0.08,0.03,-0.04666666666666666,0.06,0.03,-0.04666666666666666,0.06,0.5391069382216136,0.28429482442144133,0.6338219381435646,0.5625185912477274,0.06554519376687501,0.6331193777720225
5,0.1,0.036000000000000004,-0.055999999999999994,0.07200000000000001,0.036000000000000004,-0.055999999999999994,0.07200000000000001,0.53739765193795,0.28932130751523305,0.6306453225870928,0.5654626234057183,0.07112108820034077,0.629634546921434
6,0.12,0.042,-0.06533333333333333,0.084,0.042,-0.06533333333333333,0.084,0.5356229099700309,0.29433260539647066,0.6274906006977095,0.568325407243142,0.07678109899931967,0.6261162876211017
7,0.14,0.048,-0.07466666666666667,0.096,0.048,-0.07466666666666667,0.096,0.5337830714222122,0.29932828152859653,0.6243587170409887,0.5711046965420083,0.08252449440199405,0.6225659019417067
8,0.16,0.054,-0.08399999999999999,0.108,0.054,-0.08399999999999999,0.108,0.5318785100275693,0.3043079007358711,0.6212506106181304,0.5737982720391325,0.08835049895018215,0.618984740615593
9,0.18,0.06,-0.09333333333333332,0.12,0.06,-0.09333333333333332,0.12,0.5299096140606857,0.3092710292412813,0.6181672146429438,0.5764039430743854,0.09425829368210673,0.6153742024828663
10,0.2,0.066,-0.10266666666666666,0.132,0.066,-0.10266666666666666,0.132,0.5278767862470262,0.3142172347043269,0.6151094563201926,0.5789195492254078,0.100247016345477,0.611735733895502
11,0.22,0.07200000000000001,-0.11199999999999999,0.14400000000000002,0.07200000000000001,-0.11199999999999999,0.14400000000000002,0.525780443668924,0.31914608625868196,0.6120782566253555,0.5813429619275708,0.1063157616307995,0.6080708280798005
12,0.24,0.078,-0.12133333333333333,0.156,0.078,-0.12133333333333333,0.156,0.5236210176681964,0.32405715454972794,0.6090745300858538,0.583672086077967,0.11246358142482821,0.6043810244575641
13,0.26,0.084,-0.13066666666666665,0.168,0.084,-0.13066666666666665,0.168,0.5213989537454183,0.32895001177195476,0.6060991845637969,0.5859048616222358,0.11868948508404906,0.6006679079263919
14,0.28,0.09000000000000001,-0.13999999999999999,0.18000000000000002,0.09000000000000001,-0.13999999999999999,0.18000000000000002,0.5191147114558731,0.33382423170622744,0.6031531210402973,0.5880392651230303,0.12499243972809038,0.5969331080995326
15,0.3,0.096,-0.14933333333333335,0.192,0.096,-0.14933333333333335,0.192,0.5167687643022055,0.3386793897569139,0.6002372334014059,0.5900733113089475,0.13137137055293954,0.5931782985057609
16,0.32,0.102,-0.15866666666666665,0.204,0.102,-0.15866666666666665,0.204,0.5143615996238057,0.3435150629888719,0.597352408225717,0.5920050546027582,0.13782516116383448,0.589405195749773
17,0.34,0.108,-0.16799999999999998,0.216,0.108,-0.16799999999999998,0.216,0.5118937184829452,0.3483308301642912,0.5944995245736947,0.5938325906277839,0.14435265392769572,0.5856155586336335
18,0.36,0.11400000000000002,-0.17733333333333334,0.22800000000000004,0.11400000000000002,-0.17733333333333334,0.22800000000000004,0.5093656355476942,0.35312627177938766,0.5916794537787682,0.5955540576912804,0.15095265034494965,0.5818111872398305
19,0.38,0.12,-0.18666666666666665,0.24,0.12,-0.18666666666666665,0.24,0.5067778789716492,0.3579009701009462,0.5888930592402475,0.5971676382437137,0.15762391144058704,0.5779939219765325
20,0.4,0.12600000000000003,-0.196,0.25200000000000006,0.12600000000000003,-0.196,0.25200000000000006,0.5041309902704952,0.36265450920271014,0.5861411962181052,0.5986715603128135,0.16436515817429515,0.5741656425856623
21,0.42,0.132,-0.2053333333333333,0.264,0.132,-0.2053333333333333,0.264,0.5014255241954367,0.3673864750016127,0.5834247116296762,0.6000640989113235,0.1711750718694863,0.5703282671144417
22,0.44,0.13799999999999998,-0.21466666666666664,0.27599999999999997,0.13799999999999998,-0.21466666666666664,0.27599999999999997,0.49866204860352076,0.3720964552938476,0.5807444438483197,0.6013435774173705,0.17805229466104444,0.5664837508510829
23,0.46,0.14400000000000002,-0.22399999999999998,0.28800000000000003,0.14400000000000002,-0.22399999999999998,0.28800000000000003,0.4958411443248888,0.3767840397907768,0.5781012225040938,0.6025083689264061,0.18499542996159668,0.5626340852253341
24,0.48,0.15,-0.2333333333333333,0.3,0.15,-0.2333333333333333,0.3,0.4929634050269854,0.3814488201546705,0.5754958682864869,0.6035568975736847,0.1920030429461122,0.5587812966746131
25,0.5,0.156,-0.24266666666666667,0.312,0.156,-0.24266666666666667,0.312,0.4900294370757554,0.3860903900342779,0.5729291927492552,0.6044876398262667,0.199073661054621,0.5549274454764938
26,0.52,0.162,-0.252,0.324,0.162,-0.252,0.324,0.4870398593938637,0.3907083451002246,0.5704019981174091,0.605299125743554,0.20620577451283606,0.551074624548331
27,0.54,0.168,-0.2613333333333333,0.336,0.168,-0.2613333333333333,0.336,0.48399530331597,0.3953022830802342,0.5679150770963964,0.6059899402053897,0.21339783687045674,0.5472249582148426
28,0.56,0.174,-0.27066666666666667,0.348,0.174,-0.27066666666666667,0.348,0.4808964124410926,0.3998718037941696,0.5654692126835265,0.606558724106772,0.22064826555691788,0.5433806009444876
29,0.58,0.18000000000000002,-0.27999999999999997,0.36000000000000004,0.18000000000000002,-0.27999999999999997,0.36000000000000004,0.477743842482096,0.40441650918889394,0.5630651779816782,0.6070041755182618,0.2279554424543495,0.5395437360555079
30,0.6,0.186,-0.28933333333333333,0.372,0.186,-0.28933333333333333,0.372,0.4745382611123387,0.40893600337294433,0.560703736015339,0.6073250508111787,0.23531771448749492,0.5357165743925246
31,0.62,0.192,-0.2986666666666667,0.384,0.192,-0.2986666666666667,0.384,0.47128034780951567,0.4134298926510189,0.5583856395490133,0.6075201657467155,0.24273339423033347,0.5319013529746021
32,0.64,0.198,-0.308,0.396,0.198,-0.308,0.396,0.46797079369673183,0.4178977855582712,0.5561116309080488,0.607588396528113,0.25020076052914475,0.5281003336157202
33,0.66,0.204,-0.3173333333333333,0.408,0.204,-0.3173333333333333,0.408,0.46461030138084736,0.42233929289441074,0.5538824418019176,0.6075286808150785,0.25771805914174206,0.5243158015186128
34,0.68,0.21000000000000002,-0.32666666666666666,0.42000000000000004,0.21000000000000002,-0.32666666666666666,0.42000000000000004,0.4611995847881283,0.4267540277576074,0.5516987931499973,0.6073400186996432,0.2652835033925987,0.5205500638429565
35,0.7000000000000001,0.216,-0.33599999999999997,0.432,0.216,-0.33599999999999997,0.432,0.4577393689972438,0.4311416055781937,0.5495613949098906,0.6070214736426902,0.27289527484357906,0.5168054482489106
36,0.72,0.222,-0.3453333333333333,0.444,0.222,-0.3453333333333333,0.444,0.4542303900696494,0.43550164415216497,0.5474709459083268,0.6065721733704104,0.2805515239799833,0.5130843014170353
37,0.74,0.22800000000000004,-0.3546666666666667,0.45600000000000007,0.22800000000000004,-0.3546666666666667,0.45600000000000007,0.45067339487739405,0.43983376367447363,0.5454281336746802,0.605991310729967,0.2882503709116058,0.5093889875456279
38,0.76,0.234,-0.364,0.468,0.234,-0.364,0.468,0.44706914092839467,0.4441375867721143,0.5434336342771506,0.6052781445036881,0.29598990608849957,0.5057218868265417
39,0.78,0.24,-0.3733333333333333,0.48,0.24,-0.3733333333333333,0.48,0.44341839618921475,0.44841273853699626,0.5414881121616391,0.6044320001811219,0.3037681910311333,0.502085393900567
40,0.8,0.246,-0.3826666666666666,0.492,0.246,-0.3826666666666666,0.492,0.4397219389053944,0.4526588465586027,0.5395922199933599,0.6034522706883372,0.31158325907462214,0.49848191629346966
41,0.8200000000000001,0.25200000000000006,-0.392,0.5040000000000001,0.25200000000000006,-0.392,0.5040000000000001,0.4359805574193677,0.4568755409564311,0.5377465985012255,0.6023384170738617,0.3194331161267039,0.4949138728338054
42,0.84,0.258,-0.4013333333333333,0.516,0.258,-0.4013333333333333,0.516,0.432195049986017,0.4610624544122134,0.5359518763250403,0.6010899691507002,0.3273157414391271,0.49138369205363475
43,0.86,0.264,-0.4106666666666666,0.528,0.264,-0.4106666666666666,0.528,0.42836622458590096,0.46521922220191425,0.5342086698655392,0.5997065260938927,0.33522908839211607,0.4878938105732855
44,0.88,0.27,-0.42,0.54,0.27,-0.42,0.54,0.4244948987362043,0.4693454822275014,0.5325175831373082,0.5981877569931076,0.34317108529156093,0.4844466714713218
45,0.9,0.27599999999999997,-0.4293333333333333,0.5519999999999999,0.27599999999999997,-0.4293333333333333,0.5519999999999999,0.42058189929945283,0.47344087504848836,0.5308792076246186,0.5965334013598039,0.35113963617858746,0.48104472264088777
46,0.92,0.28200000000000003,-0.43866666666666665,0.5640000000000001,0.28200000000000003,-0.43866666666666665,0.5640000000000001,0.4166280622900395,0.47750504391324633,0.5292941221402104,0.5947432695885201,0.35913262165114757,0.4776904151336133
47,0.9400000000000001,0.28800000000000003,-0.44799999999999995,0.5760000000000001,0.28800000000000003,-0.44799999999999995,0.5760000000000001,0.4126342326786027,0.48153763479007916,0.5277628926870592,0.5928172433718771,0.36714789969726586,0.47438620149227495
48,0.96,0.294,-0.4573333333333333,0.588,0.294,-0.4573333333333333,0.588,0.40860126419430987,0.48553829639806523,0.5262860723231564,0.5907552760689352,0.3751833065395798,0.4711345340734171
49,0.98,0.3,-0.4666666666666666,0.6,0.3,-0.4666666666666666,0.6,0.40453001912508696,0.48950668023765664,0.5248642010293364,0.588557393026551,0.3832366574907958,0.4679378633611497
50,1.0,0.30600000000000005,-0.476,0.6120000000000001,0.30600000000000005,-0.476,0.6120000000000001,0.4004213681158431,0.4934424406210372,0.5234978055801827,0.5862236918534364,0.39130574781968397,0.46479863627334644
51,1.02,0.312,-0.48533333333333334,0.624,0.312,-0.48533333333333334,0.624,0.39627618996473757,0.4973452347022356,0.5221873994180399,0.5837543426466413,0.3993883536272314,0.46171929446147386
52,1.04,0.318,-0.49466666666666664,0.636,0.318,-0.49466666666666664,0.636,0.3920953714175378,0.501214722506991,0.5209334825301655,0.581149588170227,0.4074822327325627,0.45870227260528995
53,1.06,0.324,-0.504,0.648,0.324,-0.504,0.648,0.3878798069601148,0.505050566962368,0.5197365413290466,0.5784097439859186,0.4155851255682382,0.45574999670365884
54,1.08,0.32999999999999996,-0.5133333333333333,0.6599999999999999,0.32999999999999996,-0.5133333333333333,0.6599999999999999,0.3836303986091272,0.5088524339261202,0.5185970485359127,0.5755351985355728,0.42369475608453183,0.4528648823627283
55,1.1,0.336,-0.5226666666666666,0.672,0.336,-0.5226666666666666,0.672,0.37934805570094016,0.5126199922157958,0.5175154630674701,0.5725264131753195,0.4318088326622883,0.4500493330827252
56,1.12,0.342,-0.5319999999999999,0.684,0.342,-0.5319999999999999,0.684,0.37503369467883235,0.5163529136375886,0.5164922299258854,0.5693839221612816,0.439925049033956,0.4473057385446265
57,1.1400000000000001,0.348,-0.5413333333333333,0.696,0.348,-0.5413333333333333,0.696,0.3706882388785378,0.5200508730149264,0.5155277800920428,0.5661083325868032,0.4480410852123843,0.4446364728979614
58,1.16,0.354,-0.5506666666666666,0.708,0.354,-0.5506666666666666,0.708,0.366312618312175,0.5237135482167975,0.5146225304221029,0.562700324271155,0.45615460842697675,0.4420438930510103
59,1.18,0.36000000000000004,-0.5599999999999999,0.7200000000000001,0.36000000000000004,-0.5599999999999999,0.7200000000000001,0.3619077694506123,0.5273406201858115,0.5137768835473843,0.5591606495997217,0.46426327406678125,0.4395303369646565
