step_index,time_seconds,target_joint_1,target_joint_2,target_joint_3,qpos_joint_1,qpos_joint_2,qpos_joint_3
0,0.0,0.006,-0.009333333333333334,0.012,0.006,-0.009333333333333334,0.012
1,0.02,0.012,-0.018666666666666668,0.024,0.012,-0.018666666666666668,0.024
2,0.04,0.018000000000000002,-0.027999999999999997,0.036000000000000004,0.018000000000000002,-0.027999999999999997,0.036000000000000004
3,0.06,0.024,-0.037333333333333336,0.048,0.024,-0.037333333333333336,0.048
4,0.08,0.03,-0.04666666666666666,0.06,0.03,-0.04666666666666666,0.06
5,0.1,0.036000000000000004,-0.055999999999999994,0.07200000000000001,0.036000000000000004,-0.055999999999999994,0.07200000000000001
6,0.12,0.042,-0.06533333333333333,0.084,0.042,-0.06533333333333333,0.084
7,0.14,0.048,-0.07466666666666667,0.096,0.048,-0.07466666666666667,0.096
8,0.16,0.054,-0.08399999999999999,0.108,0.054,-0.08399999999999999,0.108
9,0.18,0.06,-0.09333333333333332,0.12,0.06,-0.09333333333333332,0.12
10,0.2,0.066,-0.10266666666666666,0.132,0.066,-0.10266666666666666,0.132
11,0.22,0.07200000000000001,-0.11199999999999999,0.14400000000000002,0.07200000000000001,-0.11199999999999999,0.14400000000000002
12,0.24,0.078,-0.12133333333333333,0.156,0.078,-0.12133333333333333,0.156
13,0.26,0.084,-0.13066666666666665,0.168,0.084,-0.13066666666666665,0.168
14,0.28,0.09000000000000001,-0.13999999999999999,0.18000000000000002,0.09000000000000001,-0.13999999999999999,0.18000000000000002
15,0.3,0.096,-0.14933333333333335,0.192,0.096,-0.14933333333333335,0.192
16,0.32,0.102,-0.15866666666666665,0.204,0.102,-0.15866666666666665,0.204
17,0.34,0.108,-0.16799999999999998,0.216,0.108,-0.16799999999999998,0.216
18,0.36,0.11400000000000002,-0.17733333333333334,0.22800000000000004,0.11400000000000002,-0.17733333333333334,0.22800000000000004
19,0.38,0.12,-0.18666666666666665,0.24,0.12,-0.18666666666666665,0.24
20,0.4,0.12600000000000003,-0.196,0.25200000000000006,0.12600000000000003,-0.196,0.25200000000000006
21,0.42,0.132,-0.2053333333333333,0.264,0.132,-0.2053333333333333,0.264
22,0.44,0.13799999999999998,-0.21466666666666664,0.27599999999999997,0.13799999999999998,-0.21466666666666664,0.27599999999999997
23,0.46,0.14400000000000002,-0.22399999999999998,0.28800000000000003,0.14400000000000002,-0.22399999999999998,0.28800000000000003
24,0.48,0.15,-0.2333333333333333,0.3,0.15,-0.2333333333333333,0.3
25,0.5,0.156,-0.24266666666666667,0.312,0.156,-0.24266666666666667,0.312
26,0.52,0.162,-0.252,0.324,0.162,-0.252,0.324
27,0.54,0.168,-0.2613333333333333,0.336,0.168,-0.2613333333333333,0.336
28,0.56,0.174,-0.27066666666666667,0.348,0.174,-0.27066666666666667,0.348
29,0.58,0.18000000000000002,-0.27999999999999997,0.36000000000000004,0.18000000000000002,-0.27999999999999997,0.36000000000000004
30,0.6,0.186,-0.28933333333333333,0.372,0.186,-0.28933333333333333,0.372
31,0.62,0.192,-0.2986666666666667,0.384,0.192,-0.2986666666666667,0.384
32,0.64,0.198,-0.308,0.396,0.198,-0.308,0.396
33,0.66,0.204,-0.3173333333333333,0.408,0.204,-0.3173333333333333,0.408
34,0.68,0.21000000000000002,-0.32666666666666666,0.42000000000000004,0.21000000000000002,-0.32666666666666666,0.42000000000000004
